case_id,activity,timestamp_start,timestamp_end,station_id,resource_id,resource_name,qualification,result,rework_flag,reference,temps_prevu,temps_reel,wait_time,alea,cout_horaire
P0000,Assemblage queue avion,2023-09-01 08:07:12.432346,2023-09-01 08:07:12.432346,Station_2,AIR0114,Jacques Vincent,Opérateur Senior,OK,False,C768,0.0,0.0,0.12012009621879133,Incident manutention,41.5
P0000,Assemblage aile droite,2023-09-01 08:10:41.948359,2023-09-01 08:10:41.948359,Station_9,AIR0009,Martine Vincent,Chef d'Équipe Confirmé,OK,False,C768,0.0,0.0,0.05819889253739388,Usure prématurée outillages précision,40.5
P0000,Assemblage aile gauche,2023-09-01 08:16:41.948359,2023-09-01 08:16:41.948359,Station_16,AIR0072,Sophie Bernard,Chef d'Équipe Senior,OK,False,C768,0.0,0.0,0.1,Déformation supports,41.5
P0000,Assemblage fuselage centrale,2023-09-01 08:24:21.859112,2023-09-01 08:24:21.859112,Station_23,AIR0079,Jacques Vincent,Technicien Technique,OK,False,C768,0.0,0.0,0.12775298691451445,Incident logiciel robots,39.5
P0000,Assemblage train atterissage gauche,2023-09-01 08:30:21.859112,2023-09-01 08:30:21.859112,Station_30,AIR0086,Antoine Robert,Opérateur Senior,OK,False,C768,0.0,0.0,0.1,Défaillance majeure systèmes,41.5
P0000,Fixation réacteur aile gauche,2023-09-01 08:34:44.146143,2023-09-01 08:34:44.146143,Station_37,AIR0037,Antoine Durand,Technicien Senior,OK,False,C768,0.0,0.0,0.07285750851357779,Perte référencement,42.5
P0001,Assemblage queue avion,2023-09-01 08:36:41.679194,2023-09-01 08:36:41.679194,Station_2,AIR0058,Emma Simon,Technicien Technique,Rework,True,C483,0.0,0.0,0.1115775538918466,Incident manutention,39.5
P0000,Assemblage train atterissage droit,2023-09-01 08:41:04.982302,2023-09-01 08:41:04.982302,Station_44,AIR0100,Isabelle Moreau,Chef d'Équipe Expert,OK,False,C768,0.0,0.0,0.10578782206388902,Perte traçabilité composants,41.5
P0000,Fixation réacteur aile droite,2023-09-01 08:46:05.648452,2023-09-01 08:46:05.648452,Station_51,AIR0107,Isabelle Roux,Opérateur Technique,OK,False,C768,0.0,0.0,0.08351837504653682,Défaillance protocoles sécurité industrielle,37.5
P0001,Assemblage queue avion_Rework,2023-09-01 09:06:41.679194,2023-09-01 09:06:41.679194,Station_2,AIR0058,Emma Simon,Technicien Technique,OK,True,C483,0.0,0.0,0.5,Rework nécessaire,39.5
P0002,Assemblage queue avion,2023-09-01 09:07:46.296662,2023-09-01 09:07:46.296662,Station_2,AIR0002,François Lefebvre,Technicien Junior,OK,False,D010,0.0,0.0,0.1295268505658049,Incident manutention,32.5
P0001,Assemblage aile droite,2023-09-01 09:14:22.075775,2023-09-01 09:14:22.075775,Station_9,AIR0009,Martine Vincent,Chef d'Équipe Confirmé,OK,False,C483,0.0,0.0,0.1278879390304339,Usure prématurée outillages précision,40.5
P0002,Assemblage aile droite,2023-09-01 09:14:25.603997,2023-09-01 09:14:25.603997,Station_9,AIR0065,Jacques Roux,Opérateur Senior,OK,False,D010,0.0,0.0,0.1109187040454228,Usure prématurée outillages précision,42.5
P0001,Assemblage aile gauche,2023-09-01 09:20:22.075775,2023-09-01 09:20:22.075775,Station_16,AIR0072,Sophie Bernard,Chef d'Équipe Senior,Rework,True,C483,0.0,0.0,0.1,Déformation supports,41.5
P0002,Assemblage aile gauche,2023-09-01 09:20:25.603997,2023-09-01 09:20:25.603997,Station_16,AIR0128,Sophie Fournier,Chef d'Équipe Senior,OK,False,D010,0.0,0.0,0.1,Déformation supports,41.5
P0002,Assemblage fuselage centrale,2023-09-01 09:28:31.942644,2023-09-01 09:28:31.942644,Station_23,AIR0135,Paul Petit,Opérateur Senior,OK,False,D010,0.0,0.0,0.1350940687140418,Incident logiciel robots,41.5
P0002,Assemblage train atterissage gauche,2023-09-01 09:34:31.942644,2023-09-01 09:34:31.942644,Station_30,AIR0142,Omar Simon,Technicien Junior,OK,False,D010,0.0,0.0,0.1,Défaillance majeure systèmes,32.5
P0003,Assemblage queue avion,2023-09-01 09:35:13.833430,2023-09-01 09:35:13.833430,Station_2,AIR0058,Emma Simon,Technicien Technique,OK,False,A416,0.0,0.0,0.0871759527924115,Incident manutention,39.5
P0002,Fixation réacteur aile gauche,2023-09-01 09:40:36.519048,2023-09-01 09:40:36.519048,Station_37,AIR0093,Bernard Robert,Chef d'Équipe Technique,OK,False,D010,0.0,0.0,0.10127122339153116,Perte référencement,38.5
P0003,Assemblage aile droite,2023-09-01 09:42:19.542172,2023-09-01 09:42:19.542172,Station_9,AIR0009,Martine Vincent,Chef d'Équipe Confirmé,OK,False,A416,0.0,0.0,0.11825242831618853,Usure prématurée outillages précision,40.5
